ano,estado,media_precipitacao_mm
2000,GO,N/A
2000,DF,0.1534
2000,MT,N/A
2000,MS,N/A
2001,GO,0.1367
2001,DF,0.1394
2001,MT,N/A
2001,MS,0.2762
2002,GO,0.1552
2002,DF,0.2017
2002,MT,N/A
2002,MS,0.1590
2003,GO,0.1719
2003,DF,0.1489
2003,MT,1.3675
2003,MS,0.2954
2004,GO,0.1991
2004,DF,0.3384
2004,MT,1.2749
2004,MS,0.1773
2005,GO,0.2754
2005,DF,0.2756
2005,MT,0.4853
2005,MS,0.1925
2006,GO,0.2949
2006,DF,0.2095
2006,MT,N/A
2006,MS,0.2664
2007,GO,N/A
2007,DF,N/A
2007,MT,N/A
2007,MS,N/A
2008,GO,N/A
2008,DF,N/A
2008,MT,N/A
2008,MS,N/A
2009,GO,N/A
2009,DF,N/A
2009,MT,N/A
2009,MS,N/A
2010,GO,N/A
2010,DF,N/A
2010,MT,N/A
2010,MS,N/A
2011,GO,N/A
2011,DF,N/A
2011,MT,N/A
2011,MS,N/A
2012,GO,N/A
2012,DF,N/A
2012,MT,N/A
2012,MS,N/A
2013,GO,N/A
2013,DF,N/A
2013,MT,N/A
2013,MS,N/A
2014,GO,N/A
2014,DF,N/A
2014,MT,N/A
2014,MS,N/A
2015,GO,N/A
2015,DF,N/A
2015,MT,N/A
2015,MS,N/A
2016,GO,N/A
2016,DF,N/A
2016,MT,N/A
2016,MS,N/A
2017,GO,N/A
2017,DF,N/A
2017,MT,N/A
2017,MS,N/A
2018,GO,N/A
2018,DF,N/A
2018,MT,N/A
2018,MS,N/A
2019,GO,N/A
2019,DF,N/A
2019,MT,N/A
2019,MS,N/A
2020,GO,N/A
2020,DF,N/A
2020,MT,N/A
2020,MS,N/A

estado_vencedor_geral,MT
media_vencedor_geral_mm,1.0425
